Market Name,Min Price (2023),Max Price (2023),Price 2023,Min Price (2020),Max Price (2020),Price 2020,Min Price (2021),Max Price (2021),Price 2021,Min Price (2019),Max Price (2019),Price 2019,Min Price (2018),Max Price (2018),Price 2018,Min Price (2017),Max Price (2017),Price 2017,Min Price (2016),Max Price (2016),Price 2016,Min Price (2015),Max Price (2015),Price 2015,Min Price (2014),Max Price (2014),Price 2014,Min Price (2013),Max Price (2013),Price 2013,Min Price (2012),Max Price (2012),Price 2012,Min Price (2011),Max Price (2011),Price 2011,Min Price (2010),Max Price (2010),Price 2010,Min Price (2009),Max Price (2009),Price 2009,Min Price (2008),Max Price (2008),Price 2008,Min Price (2007),Max Price (2007),Price 2007,Min Price (2006),Max Price (2006),Price 2006
Satana,400,2295,28-Aug-23,1150,2825,31-Dec-20,800,2450,28-Dec-21,1500,5500,31-Dec-19,150,695,27-Dec-18,1150,3105,27-Dec-17,250,850,30-Dec-16,500,1670,31-Dec-15,850,2005,05-Dec-14,500,1150,03-Jun-13,250,720,09-Nov-12,500,1145,28-Nov-11,1000,4500,30-Dec-10,375,1850,31-Dec-09,151,791,10-Oct-08,400,746,30-Nov-07,201,875,22-Dec-06
Satana,450,2300,25-Aug-23,950,2710,31-Dec-20,1150,3130,28-Dec-21,1500,6205,30-Dec-19,75,295,27-Dec-18,1150,2960,26-Dec-17,100,712,30-Dec-16,500,1715,30-Dec-15,750,1910,05-Dec-14,500,1165,03-May-13,300,1295,22-Oct-12,300,905,28-Nov-11,2000,4405,30-Dec-10,400,2055,30-Dec-09,151,807,06-Oct-08,311,690,29-Nov-07,,,
Satana,405,2520,24-Aug-23,1150,2825,30-Dec-20,850,2400,27-Dec-21,1500,7680,27-Dec-19,100,680,26-Dec-18,950,2965,19-Dec-17,250,824,29-Dec-16,500,1735,29-Dec-15,850,2000,04-Dec-14,500,1025,03-Apr-13,400,1275,19-Oct-12,600,1105,24-Nov-11,1000,4500,29-Dec-10,400,2055,29-Dec-09,125,736,01-Oct-08,301,677,28-Nov-07,,,
Satana,600,2700,22-Aug-23,850,2480,30-Dec-20,1075,3105,27-Dec-21,1500,6380,20-Dec-19,75,325,26-Dec-18,950,3150,18-Dec-17,100,485,29-Dec-16,500,1605,28-Dec-15,750,1910,04-Dec-14,500,1120,13-Mar-13,400,1205,18-Oct-12,400,885,24-Nov-11,1500,4100,29-Dec-10,400,2000,28-Dec-09,251,815,17-Jul-08,351,756,27-Nov-07,,,
Satana,500,2510,18-Aug-23,750,2575,29-Dec-20,825,2425,24-Dec-21,1850,8150,19-Dec-19,150,925,20-Dec-18,1500,3625,07-Dec-17,250,813,28-Dec-16,500,1480,23-Dec-15,850,1785,03-Dec-14,500,1235,12-Mar-13,400,1050,17-Oct-12,350,900,17-Oct-11,700,4350,28-Dec-10,375,1952,24-Dec-09,200,805,16-Jul-08,251,676,26-Nov-07,,,
Satana,550,2655,17-Aug-23,550,2155,29-Dec-20,1050,3400,24-Dec-21,1850,8020,18-Dec-19,125,445,20-Dec-18,1500,4026,06-Dec-17,100,702,28-Dec-16,450,1495,22-Dec-15,700,1440,03-Dec-14,500,1080,08-Mar-13,300,925,16-Oct-12,350,1075,13-Oct-11,1000,4700,27-Dec-10,400,2075,23-Dec-09,200,781,15-Jul-08,501,1136,01-Nov-07,,,
Satana,600,2735,14-Aug-23,800,2200,24-Dec-20,850,2300,23-Dec-21,2500,9875,17-Dec-19,175,930,19-Dec-18,1500,4026,05-Dec-17,250,770,27-Dec-16,450,1400,21-Dec-15,850,2005,02-Dec-14,,,,300,820,12-Oct-12,400,1000,10-Oct-11,500,3350,24-Dec-10,400,2000,22-Dec-09,,,,801,1451,01-Nov-07,,,
Satana,650,2700,11-Aug-23,750,1950,24-Dec-20,1025,3595,23-Dec-21,1800,9540,16-Dec-19,150,565,19-Dec-18,1200,3041,04-Dec-17,100,591,27-Dec-16,350,1425,18-Dec-15,700,1850,02-Dec-14,,,,300,805,10-Oct-12,450,1070,29-Sep-11,850,4100,24-Dec-10,300,2145,21-Dec-09,,,,400,1371,30-Oct-07,,,
Satana,475,2305,10-Aug-23,800,2350,23-Dec-20,650,2350,22-Dec-21,1800,8200,13-Dec-19,200,990,13-Dec-18,1400,3652,04-Dec-17,250,750,22-Dec-16,350,1360,17-Dec-15,950,1990,26-Nov-14,,,,300,765,08-Oct-12,400,1090,28-Sep-11,500,3450,23-Dec-10,250,2105,18-Dec-09,,,,750,1461,30-Oct-07,,,
Satana,500,2100,09-Aug-23,750,2100,23-Dec-20,850,3730,22-Dec-21,2500,8930,13-Dec-19,150,550,13-Dec-18,1150,3205,29-Nov-17,150,651,22-Dec-16,350,1550,16-Dec-15,900,2150,24-Nov-14,,,,250,660,03-Oct-12,450,1335,30-Aug-11,1000,4500,23-Dec-10,400,2100,17-Dec-09,,,,750,1461,29-Oct-07,,,
Satana,600,2170,08-Aug-23,800,2360,22-Dec-20,600,2400,21-Dec-21,1500,7300,12-Dec-19,200,1050,12-Dec-18,1400,3950,29-Nov-17,250,835,21-Dec-16,350,1465,15-Dec-15,850,1885,05-Nov-14,,,,100,605,27-Sep-12,450,1370,24-Aug-11,500,4400,22-Dec-10,360,1965,16-Dec-09,,,,401,1325,26-Oct-07,,,
Satana,550,2155,07-Aug-23,750,2301,22-Dec-20,950,3600,21-Dec-21,2500,9305,12-Dec-19,150,620,12-Dec-18,1200,3751,28-Nov-17,100,625,21-Dec-16,350,1655,14-Dec-15,850,1850,03-Nov-14,,,,100,650,26-Sep-12,450,1310,23-Aug-11,1000,5100,22-Dec-10,300,1905,10-Dec-09,,,,501,1402,26-Oct-07,,,
Satana,350,1975,04-Aug-23,850,1950,21-Dec-20,550,2295,20-Dec-21,1500,5900,10-Dec-19,350,1050,11-Dec-18,1700,4325,28-Nov-17,250,850,20-Dec-16,300,1555,10-Dec-15,750,1800,31-Oct-14,,,,200,710,24-Sep-12,450,1315,22-Aug-11,1700,5600,21-Dec-10,250,2200,09-Dec-09,,,,450,1225,25-Oct-07,,,
Satana,300,1900,03-Aug-23,750,1875,21-Dec-20,900,3405,20-Dec-21,2950,8485,10-Dec-19,180,640,11-Dec-18,2000,4120,23-Nov-17,100,756,20-Dec-16,300,1550,09-Dec-15,850,2065,30-Oct-14,,,,300,740,21-Sep-12,350,995,19-Jul-11,1950,5500,21-Dec-10,350,2550,09-Dec-09,,,,500,1326,25-Oct-07,,,
Satana,250,1875,02-Aug-23,800,2400,18-Dec-20,650,2375,17-Dec-21,4500,13500,05-Dec-19,500,1055,06-Dec-18,2000,4757,23-Nov-17,250,825,19-Dec-16,300,1685,08-Dec-15,850,1945,29-Oct-14,,,,300,760,20-Sep-12,400,1010,18-Jul-11,525,3625,16-Dec-10,300,2200,08-Dec-09,,,,305,1299,24-Oct-07,,,
Satana,300,1870,01-Aug-23,550,1895,18-Dec-20,800,3345,17-Dec-21,4500,13200,04-Dec-19,150,680,06-Dec-18,1850,3851,22-Nov-17,200,761,19-Dec-16,300,1455,07-Dec-15,750,1935,17-Oct-14,,,,300,750,19-Sep-12,400,1040,15-Jul-11,1075,4700,16-Dec-10,350,2505,08-Dec-09,,,,800,1410,24-Oct-07,,,
Satana,200,1805,31-Jul-23,800,2630,17-Dec-20,600,2375,16-Dec-21,4500,12505,03-Dec-19,400,1080,05-Dec-18,1800,4362,22-Nov-17,300,927,16-Dec-16,300,2130,03-Dec-15,750,1885,16-Oct-14,,,,250,670,13-Sep-12,200,685,06-Apr-11,500,3700,15-Dec-10,151,1700,07-Dec-09,,,,400,1201,23-Oct-07,,,
Satana,150,1685,27-Jul-23,700,2001,17-Dec-20,950,3300,16-Dec-21,4500,12305,02-Dec-19,150,655,05-Dec-18,1450,3491,21-Nov-17,150,941,16-Dec-16,300,2295,02-Dec-15,900,2255,14-Oct-14,,,,250,760,05-Sep-12,100,575,23-Mar-11,1050,4600,15-Dec-10,1000,2900,07-Dec-09,,,,500,1351,23-Oct-07,,,
Satana,225,1715,26-Jul-23,900,2890,16-Dec-20,675,2600,15-Dec-21,2500,8200,26-Nov-19,400,1125,04-Dec-18,1350,4172,21-Nov-17,300,1013,15-Dec-16,300,2500,01-Dec-15,850,2110,13-Oct-14,,,,200,730,31-Aug-12,100,615,21-Mar-11,500,3690,14-Dec-10,350,1800,05-Dec-09,,,,300,1300,22-Oct-07,,,
Satana,150,1775,24-Jul-23,950,2340,16-Dec-20,750,3330,15-Dec-21,2500,8295,25-Nov-19,200,715,04-Dec-18,1500,3525,20-Nov-17,200,1035,15-Dec-16,300,2295,30-Nov-15,750,1970,10-Oct-14,,,,300,740,30-Aug-12,200,580,16-Mar-11,1000,4580,14-Dec-10,850,2400,05-Dec-09,,,,700,1451,22-Oct-07,,,
Satana,200,1655,21-Jul-23,900,3175,15-Dec-20,650,2640,14-Dec-21,3500,8850,22-Nov-19,500,1235,03-Dec-18,1100,3800,20-Nov-17,300,1076,14-Dec-16,300,2410,27-Nov-15,750,1740,09-Oct-14,,,,200,760,29-Aug-12,100,550,15-Mar-11,200,2575,29-Nov-10,400,1895,04-Dec-09,,,,500,1425,19-Oct-07,,,
Satana,225,1725,20-Jul-23,950,2945,15-Dec-20,775,3270,14-Dec-21,2150,7855,21-Nov-19,200,650,03-Dec-18,700,2981,13-Nov-17,200,1000,14-Dec-16,305,2355,26-Nov-15,800,1550,01-Oct-14,,,,300,755,28-Aug-12,100,535,14-Mar-11,1000,3345,29-Nov-10,900,2495,04-Dec-09,,,,400,1251,18-Oct-07,,,
Satana,200,1655,18-Jul-23,1000,3455,11-Dec-20,750,2700,13-Dec-21,4100,6600,20-Nov-19,450,1275,29-Nov-18,1200,2911,13-Nov-17,300,1079,09-Dec-16,550,2510,24-Nov-15,950,1730,23-Sep-14,,,,200,730,27-Aug-12,200,895,08-Mar-11,300,2105,26-Nov-10,400,1600,02-Dec-09,,,,400,1411,18-Oct-07,,,
Satana,200,1765,17-Jul-23,1150,3355,11-Dec-20,875,3390,13-Dec-21,1850,6105,19-Nov-19,200,780,29-Nov-18,1200,2651,08-Nov-17,200,750,09-Dec-16,550,2800,23-Nov-15,950,1945,18-Sep-14,,,,100,795,24-Aug-12,200,805,07-Mar-11,1000,3670,26-Nov-10,1000,2865,02-Dec-09,,,,470,1441,16-Oct-07,,,
Satana,250,1800,14-Jul-23,1000,3395,10-Dec-20,550,2795,09-Dec-21,1850,5630,18-Nov-19,500,1320,28-Nov-18,1400,3141,08-Nov-17,300,1061,08-Dec-16,750,2935,06-Nov-15,1050,2000,17-Sep-14,,,,200,775,23-Aug-12,200,1005,28-Feb-11,350,2650,25-Nov-10,200,1875,27-Nov-09,,,,500,1471,15-Oct-07,,,
